date,industry_tone,becton_dickinson_diff,consolidated_edison_diff,centene_diff,docusign_diff,cerner_diff,unitedhealth_diff,uber_technologies_diff,microsoft_diff,lululemon_athletica_diff,nvidia_diff,paccar_diff,peloton_interactive_diff,automatic_data_processing_diff,lam_research_diff,edison_diff,willis_towers_watson_diff,best_buy_diff,lockheed_martin_diff,mondelez_diff,exelon_diff,twitter_diff,walt_disney_diff,public_service_enterprise_diff,alphabet_diff,yum_brands_diff,broadcom_diff,duke_diff,netflix_diff,apple_diff,charles_schwab_diff,fiserv_diff,regeneron_diff,micron_technology_diff,estee_lauder_diff,vf_diff,dollar_tree_diff,transdigm_diff,wells_fargo_diff,southwest_airlines_diff,xilinx_diff,corning_diff,sempra_diff,mckesson_diff,sherwin_williams_diff,baxter_diff,costar_diff,seagen_diff,edwards_lifesciences_diff,goldman_sachs_diff,splunk_diff,svb_financial_diff,american_diff,freeport_mcmoran_diff,international_business_machines_diff,twilio_diff,general_motors_diff,zimmer_biomet_holdings_diff,hilton_worldwide_holdings_diff,intuitive_surgical_diff,skyworks_solutions_diff,eog_resources_diff,delta_air_lines_diff,ford_motor_diff,eaton_diff,conocophillips_diff,microchip_technology_diff,roku_diff,coupa_software_diff,pinterest_diff,bank_of_diff,roper_technologies_diff,bristol_myers_squibb_diff,colgate_palmolive_diff,truist_financial_diff,northrop_grumman_diff,viacomcbs_diff,starbucks_diff,nike_diff,cvs_health_diff,t_rowe_price_diff,cognizant_technology_solutions_diff,sysco_diff,general_electric_diff,qualcomm_diff,etsy_diff,tesla_diff,amphenol_diff,spotify_technology_diff,johnson_controls_diff,aflac_diff,valero_diff,cme_diff,dow_diff,accenture_diff,altria_diff,dollar_general_diff,constellation_brands_diff,walgreen_boots_alliance_diff,mettler_toledo_diff,american_electric_power_diff,ansys_diff,capital_one_financial_diff,oreilly_automotive_diff,chubb_ltd_diff,linde_diff,texas_instrument_diff,metlife_diff,intercontinental_exchange_diff,blackrock_diff,marathon_petroleum_diff,travelers_companies_diff,berkshire_hathaway_diff,comcast_diff,ball_diff,yum_china_holdings_diff,emerson_electric_diff,costco_wholesale_diff,zoetis_diff,corteva_diff,moderna_diff,union_pacific_diff,ringcentral_diff,pepsico_diff,monster_beverage_diff,waste_management_diff,veeva_systems_diff,schlumberger_diff,medtronic_diff,pfizer_diff,prudential_financial_diff,electronic_arts_diff,dupont_de_nemours_diff,palo_alto_networks_diff,analog_devices_diff,cadence_design_systems_diff,fedex_diff,verisk_analytics_diff,autozone_diff,mastercard_diff,servicenow_diff,cummins_diff,marriott_diff,danaher_diff,cigna_diff,square_diff,american_express_diff,aptiv_diff,vertex_diff,humana_diff,aon_diff,eli_lilly_diff,home_depot_diff,crowdstrike_holdings_diff,xcel_diff,philip_morris_diff,rockwell_automation_diff,abbvie_diff,general_dynamics_diff,walmart_diff,otis_worldwide_diff,okta_diff,exxon_mobil_diff,kroger_diff,abbott_laboratories_diff,thermo_fisher_scientific_diff,us_bancorp_diff,dominion_diff,allstate_diff,stryker_diff,ebay_diff,progressive_diff,verizon_communications_diff,digital_realty_diff,citigroup_diff,autodesk_diff,hp_diff,nextera_diff,chevron_diff,carrier_global_diff,kinder_morgan_diff,prologis_diff,marvell_technology_group_ltd_diff,cisco_systems_diff,agilent_technologies_diff,illumina_diff,ross_stores_diff,boeing_diff,clorox_diff,keysight_technologies_diff,teladoc_health_diff,kimberly_clark_diff,honeywell_diff,general_mills_diff,gilead_sciences_diff,motorola_solutions_diff,fleetcor_technologies_diff,idexx_laboratories_diff,biogen_diff,intuit_diff,cintas_diff,dexcom_diff,intel_corporation_diff,anthem_diff,mcdonalds_diff,paypal_holdings_diff,resmed_diff,united_parcel_service_diff,global_payments_diff,boston_scientific_diff,morgan_stanley_diff,first_republic_bank_diff,synopsys_diff,parker_hannifin_diff,eversource_diff,msci_diff,visa_diff,maxim_integrated_products_diff,adobe_diff,workday_diff,activision_blizzard_diff,alexion_diff,advanced_micro_devices_diff,caterpillar_diff,amazon_com_diff,welltower_diff,amgen_diff,simon_property_diff,archer_daniels_midland_diff,coca_cola_diff,norfolk_southern_diff,raytheon_technologies_diff,facebook_diff,charter_communications_diff,ecolab_diff,iqvia_holdings_diff,ametek_diff,chipotle_mexican_grill_diff,paychex_diff,oracle_diff
30-12-2020,,,,,,,,,,,0.00140818,,,0.00556936,0.001268569,,0.001695096,0.003493364,0.000102101,0.001371549,,-0.000829863,0.000938095,-0.00011269,0.000416193,,0.005168524,0.000445376,0.00052632,0.000593062,-0.000525595,0.000595014,-0.002985749,0.000318579,,,0.001225472,,0.002086682,-0.003039607,0.00204675,0.001011978,-0.001200302,-0.000571518,,,-6.69E-05,,-0.001184852,0.000447977,-0.01377181,,0.002695671,,,,,,-0.0005415,,,,-0.000873395,0.000189021,0.000973133,0.00062215,,0.001286446,,-0.000240677,,,-0.004480231,,,-0.000241273,,0.00062369,,,,,,,0.001855959,,0.000535708,,0.003115325,,,-0.002389626,,,0.001416626,,-0.003180566,0.001355633,,,0.001245075,0.009243924,,0.000936665,,-0.009260252,,0.004306944,-0.002514982,0.001852625,-8.86E-05,,0.000351056,0.000318562,,,,,,,0.000752412,-0.002785774,0.002112193,-0.000130269,,0.000625218,,0.00107441,0.001532486,0.00039163,0.001812496,0.002404093,,0.005716619,0.011344216,-0.016655681,0.000904466,,0.000561949,0.001057633,0.00556936,0.000900946,,,,0.001027416,0.001991894,0.005512774,0.002118413,,,-0.002190529,,0.003147966,0.001975677,-0.001141318,,0.000561949,,5.04E-05,,,-0.000686307,-0.001403208,3.75E-05,0.004910419,,9.38E-05,,0.000927085,0.000857408,,0.001851246,0.00348406,0.000240383,0.003215512,-0.001355535,0.001938317,-0.002377792,,,,,0.001632798,0.001661288,,,-0.002566361,-0.000560811,-0.016655681,0.005041535,,0.003731941,,-0.000776144,0.003909909,,,,,,,0.001502277,,0.000887719,0.000899064,,-0.001868305,,0.00149813,-0.00065216,,,,,,0.002201013,0.011344216,0.001189356,,,0.000818899,-0.00070799,0.000976788,,,0.001493534,-0.003700604,,-0.0024598,-0.00060085,-0.000666415,-0.000538815,0.001419334,,,0.017672866,,0.002049475,-2.61E-05
31-12-2020,-0.000561949,0.001661288,,0.024270492,0.001286446,,0.021965618,0.000681066,0.000445374,0.000561949,0.000944734,,0.000850133,,,0.002678791,0.001386582,0.001919166,-0.000980705,,,-0.000374698,0.00043688,,0.000728416,,0.001844256,0.000659764,-7.18E-05,0.000568729,-0.001740291,,0.002395571,0.000285463,,,-0.000279987,,0.000285187,0.000629734,-0.000655762,,,-0.000568359,,,0.001116688,-0.008130539,,0.000952897,-0.008730431,,0.00319541,,0.000972614,,,,-0.000220696,,,,0.002242094,0.001048112,0.000424024,6.19E-05,,,,0.000648214,,,0.000225653,,0.000628281,0.002039265,,0.001784972,,,,-0.002630582,,,0.001011795,0.000141663,0.000332525,,0.001951843,0.00187065,,0.002812323,,0.000502358,7.42E-05,0.001069844,-0.03720959,,,,,0.010229316,,,,,,,7.21E-05,0.000410816,-0.001176218,,0.001238484,0.000613777,,0.005558762,,,,0.000333015,-3.50E-05,,,0.002807681,,0.000251319,,-0.002522029,0.002437059,0.000503001,0.001828791,,0.000333015,0.000492555,,0.004998578,-0.000216604,,0.00240675,0.00051673,,0.000403195,0.000309221,0.002673951,0.00219889,0.003649409,0.003231467,,,0.003124349,,0.001774425,,0.001719891,,,0.004478649,-0.002835432,,-0.000203418,,,-0.000821165,-0.001302908,0.002264117,0.001827218,,-0.000547467,,,-0.002085843,,0.000854438,,0.001297381,0.010229316,-0.000228485,0.0009314,-1.51E-05,0.000702621,,0.001379212,0.00246996,,0.003881404,0.001365645,,-0.003519625,0.001198907,,0.003354436,,0.001544284,,0.000698957,,,,,,,0.005783703,0.00377508,0.014796157,-0.043763702,0.000368948,0.000385737,-0.001860902,,-0.000770386,0.002102855,0.000715887,,,,,-0.000378165,,0.000284338,,,0.000251047,,0.000255335,,,0.003488409,-0.003772995,,0.016414474,-0.000260168,,-0.000736782,0.007048207,,,,0.001194404,,0.000810115
01-01-2021,-0.000715887,,,6.20E-05,-0.000316245,,0.001821844,-0.001244383,0.000404353,,0.000852449,,0.00457898,,-0.000842139,,,0.003667933,0.000251757,,,-0.000569516,0.001423026,,0.001012924,,0.003675402,-0.00305478,0.002329176,0.000335612,-0.001219232,0.004152956,-0.000812915,0.000292527,,,0.001051854,,0.001308328,0.000974238,-0.007490233,,,-0.000538577,,,1.40E-05,,,0.000168724,,,,0.003171498,0.001921052,,0.005188467,,-0.000302462,,,,0.001503767,0.002443796,-0.001126935,-0.000216163,0.003634007,,,0.000904687,,,0.002641601,0.005936739,0.00063825,-0.000695457,,0.000169389,,0.006749283,,,,,0.001283942,-0.000302462,0.003863415,,,0.004107648,,,,-0.002060445,-0.003949796,,-0.000147494,,,,,,,,,,,,-0.000274266,-0.001360251,0.005580807,,-0.001095308,0.000659995,,,,,,,-0.000306756,-0.003952845,,-4.75E-05,,,,-0.008244395,,-3.51E-05,2.20E-05,,,0.004403178,,,6.89E-05,,0.004505498,-0.001728861,,-0.000155135,0.001178915,,0.002078806,,0.001614248,,,,0.000725614,-0.000508344,,0.001344935,0.000725614,,,,,-0.000351815,,,-0.000406046,0.003608776,0.000180033,0.00163588,,0.000549689,,,0.001096161,,0.002425109,,0.001269268,,,-0.002299945,-0.000754358,,,,,-0.002060445,,0.00163588,0.003171498,0.000266519,2.74E-05,,0.001446245,,0.001004678,,0.000499294,,,,,,,,,,-0.000584108,0.000135479,,,,-0.001812135,0.000544495,,,,-0.000846627,,-0.000149003,,,,,0.001852082,0.007370457,0.01408299,,,0.001675163,,,,-0.015236078,-0.003233198,-0.000416491,,,,,,,-0.00015719
02-01-2021,-0.000725614,,,,-0.000310626,,-0.000944839,-0.003730341,-0.000295526,,0.001961092,,-0.002081347,,,,,0.003990265,-0.000857071,,,-0.000712657,0.002055208,,,,0.002188493,0.001598394,0.005140074,0.001115589,0.000800638,0.00284072,,,,,0.00393502,,0.001301442,-0.002370443,,,0.000445893,,,-0.000287271,0.00142683,,,0.000512118,-0.015158147,,,,,,,,0.000266749,,,,-0.001622698,0.001707937,,-4.43E-05,,,,0.001157809,-0.002161691,,,0.000696079,0.001005454,0.00013306,,-0.000663818,0.003309301,,,,,,0.001574709,0.008103593,0.002964428,,,,,-8.46E-05,,0.010093151,,,9.44E-05,,,,0.00284072,,,,,0.013778469,,,0.000124223,-0.000760041,0.000334453,,-7.26E-05,0.001619442,,,,,,,0.0007477,,,6.35E-05,,,,0.000334453,0.000575294,-0.001081645,,0.004132734,,,,,-0.001050192,,,0.000571479,,-0.000716458,,,,,0.00237078,,,,,-0.003078346,0.003309301,,0.002981472,,,,,0.000588268,,,-0.000342084,0.002318415,0.000442538,,,0.000686544,,,,,0.001246764,,,,-0.001757431,0.002981472,-0.000440113,,,,,,0.005335359,,,0.000202258,-0.002864097,,0.001353917,,0.004155319,,-0.000101051,,,,,,,,0.001558265,,-0.002683818,0.001185344,,,,,0.002955101,,,,,,0.000968984,,,,,0.001587958,,-0.001043474,,,-0.004357675,0.000933334,,0.003830313,-0.000661193,,-0.000151161,,,0.002108831,,,,0.000852196
03-01-2021,-0.001005454,,,,,,,,0.000341859,,-0.000476914,,,,,,,0.000687824,-0.004554652,0.003140152,0.003140152,-0.000130457,0.000571994,,-3.66E-05,,0.002432984,0.003140152,0.001544215,0.001891681,-0.002637006,,0.00024364,0.001918924,,,0.002474401,,2.69E-06,-0.001057446,,,,-0.006785322,,,0.001067981,,,-0.000732526,,,,,,,-0.002336206,,,,,,0.000804143,0.002382193,-0.00558734,0.000849253,,,,0.001231162,,,0.005787977,,0.001126366,,,0.000513226,0.003077969,,,,0.003140152,,0.000687549,,0.002774712,,,-0.003613779,,,,,-0.004922558,0.003140152,0.002283916,,,,,,,,,,,,-0.000697717,0.002069981,-0.001910192,,0.001873902,0.000822346,0.003140152,,,,,,-0.000166804,0.003496602,,0.000106186,,,,,,-0.000670992,0.001401481,,,,,,3.68E-05,,0.003140152,-0.001775545,,,,,,-5.88E-06,0.002320168,,,,0.000983641,-0.000883634,0.003077969,,,0.000930675,0.003140152,,,0.00065286,,,0.000321631,6.07E-05,0.004354255,,,0.001059644,,,0.002767936,,0.003077969,0.006383452,-0.000574493,,-0.017168003,-0.003571341,0.00077011,,,,,-0.001297457,,,,0.000613079,-0.002480179,,,,0.003140152,,-0.001025858,,,,,-0.002332009,,,0.003077969,,0.002829981,0.001399234,,-0.001115168,,-0.00040544,0.000938012,,,,,,0.001466566,,,,,,,0.002120456,,,,-0.000219499,4.40E-07,,0.003140152,,0.000176143,,,0.002038159,,,,0.000788508
04-01-2021,-0.000983641,,,,-9.51E-05,,0.000342582,0.002596575,0.000461084,,0.001310946,0.041729019,,,0.004869026,-0.001152952,,0.004249935,0.000566391,0.001139132,,4.90E-05,0.000822125,,-0.002653778,-0.000433335,0.002136811,0.00303422,-7.84E-05,0.001012062,0.001471921,0.000386545,0.004602486,-0.005699602,,,0.001041363,,0.000903712,0.002437942,0.00190136,,-4.88E-05,0.006075087,,0.00313081,,-0.002568407,,0.001015271,-0.00392011,,0.00076269,,,0.001705368,0.001278337,-0.000146985,-0.000510296,0.000494303,0.002250435,,-0.000526241,0.002482568,0.004344049,0.000263219,,0.001504922,,0.001215979,,0.000344404,-0.000517749,,,3.78E-05,,0.001030158,,,,0.000879346,,,0.004375159,,-0.000235207,,0.001637919,,0.0016975,-8.88E-05,,,0.001141418,,0.004572079,0.012816903,,,0.00576567,0.00190136,,0.001623313,0.005267235,,,0.001957676,-0.000173505,-7.62E-05,0.001112892,,0.001755829,-0.000173173,,,0.001339127,,,0.000694595,-0.000476963,-0.003648295,,0.000878202,,,,0.009892605,0.002526917,-0.001115453,-0.000407925,,0.003270441,0.00230674,0.003971293,0.00190136,0.000988043,,-0.000979909,0.000654823,0.001705368,0.002120387,-0.001804494,,0.002730417,-0.000341179,0.003149827,,,0.014432064,0.000748075,-4.47E-05,0.001754054,-0.000471324,0.001328824,,0.002228627,-0.003942436,,0.000190832,,0.001705368,-0.001112921,0.000702061,0.003429937,0.003063647,,0.001711688,0.004536075,-0.000146985,-0.000177681,,0.000142552,0.001463287,-0.000722471,0.00190136,-0.00491409,0.000988572,-9.42E-06,0.0030188,0.000419613,,,0.002252078,,,,-0.000429802,-0.0025762,0.00190136,0.004810585,,0.005053577,,-0.004397451,,,,-0.00710955,-0.001494401,,,0.000638943,,0.00028427,0.001870088,0.002955449,0.000662691,,0.002770501,0.000240279,-0.011970885,0.00190136,,0.003456197,-0.001268605,0.00159291,,0.007821982,,,-0.00095256,0.003927817,0.001399448,,,0.001776366,0.000621117,-0.00010886,0.001177446,0.000271598,0.000715961,0.000606747,0.002039237,,,0.00218095,0.001501436,0.000669724,0.001014029
05-01-2021,-0.000879346,,,0.011183473,,,0.000260901,0.00565122,-0.000174649,,-0.000251508,,-0.002438316,,-0.000310721,0.00668022,0.003451389,-0.000474871,-0.000164862,0.006711014,,6.38E-05,0.001105706,,-3.22E-05,,-0.000255724,-0.000554575,-0.001413096,0.001041887,0.001156492,0.021733077,-0.001001875,0.005635605,,,0.000820499,-0.001349733,0.000698556,0.001173934,0.000985009,0.001778337,0.003627599,0.000508559,0.003979003,0.002410777,-0.000893179,-0.002763522,,0.000334926,-0.006788386,0.012792765,,,-0.005045125,,-0.000429525,,,,0.001436964,,0.002269267,0.000768669,0.00099539,-0.000329393,0.002512978,0.001799175,,0.001268449,,,-0.000751464,,0.000193183,-0.001048871,0.003344712,0.001423876,,,7.00E-05,,,,0.001594459,,-0.000972065,,0.005784245,0.003074085,0.011536818,0.000167719,0.004380492,0.001706977,0.006112575,,-0.000276145,0.001210867,,,0.000886236,0.003876202,0.00628369,0.003086631,,0.004729481,,0.016270876,-0.001068513,0.000935697,-0.003744016,0.000552664,0.000341089,0.001056266,,0.003441025,-0.001867031,0.009800269,,0.000311557,-0.000462686,0.001127256,,0.003573141,,0.021733077,,-0.00255219,0.002649159,-0.001464747,-0.000965609,0.002508295,0.002992899,0.003892625,0.000380902,0.00154893,0.000398288,,0.000346569,0.001380418,,,-0.003962814,0.001285235,0.002558798,-0.000279589,0.003197155,,0.000293678,0.001399544,,0.000741716,0.001916958,0.001232343,0.004240059,0.002205296,0.008885833,-0.001808402,,0.000520145,,-0.006211127,0.003727809,-0.001079096,0.001616034,0.001221914,,-0.000772865,0.000552664,0.00047063,0.00025847,,-0.000308659,0.000891178,7.84E-05,0.008018665,,0.001816829,0.001243205,,0.001064292,0.00018193,,0.002305254,0.002725135,,,-0.000244461,0.008409248,0.00154893,0.005993933,0.002785276,0.002708729,,,0.001459933,,,,,,,0.002080401,0.001399544,0.005600032,0.000810246,0.003487085,0.000801151,,0.002454779,0.00076222,0.008841492,0.002538186,0.006924943,,,0.001428299,,0.002564446,,,0.00016383,0.003295308,-0.000692304,,,0.000930741,0.001272147,0.002731295,0.002464239,-0.00034025,,0.000192469,8.41E-05,,,0.000970074,0.002590734,0.000483717,0.001192505
06-01-2021,-0.000512918,0.002342633,,0.008745963,0.006505428,,0.001257784,0.001063651,0.00098939,0.008778475,0.00083767,,0.004239946,0.000530406,0.002025158,,0.001686833,0.001881609,0.000857977,0.005205769,,-0.000670143,0.00135638,,-0.002233292,0.000255736,0.001407765,-0.000222645,-0.001179913,-0.001019614,0.000308459,,0.000321771,0.000319636,,,-0.01074612,,0.001805145,-0.003134892,0.000993625,,,0.001789378,0.004038174,0.002355329,0.00296623,,,-0.000229157,-0.007262735,0.005893404,0.004974354,,-0.0032024,,-0.00119613,,0.001681669,,,,0.001090963,0.001388484,0.002528908,-0.001176577,0.002586222,0.003243214,0.00235391,0.000766794,0.000439337,,0.000881821,-0.002003032,0.000306275,0.000951386,,-0.003696096,,0.002929043,0.0024331,,,,0.001689973,-0.00340493,0.00213132,,0.010073472,0.004792932,-0.000208709,-0.000826483,,0.000228452,0.002793582,0.001178745,0.000382347,0.001114632,0.010071825,,-0.000880012,0.006842684,,,,-0.000505111,,0.006150544,-0.000770609,0.000567609,,-0.003924759,0.000627217,0.003423492,,,,-0.000220656,,,-0.002479767,0.000257374,0.015931736,0.001339723,,0.001002478,,0.002986054,0.000249784,-0.0006998,-0.000763459,0.002716299,0.001773563,-0.011745494,0.001341887,,-0.000575881,,0.000994507,0.001763153,0.009319713,0.003233742,0.002354985,0.002904366,0.001716287,,0.003819785,,0.006803767,,,-0.000998655,,0.000822475,0.001638994,-0.011260603,0.005473903,0.000497559,,0.000855448,,,0.000392889,-0.002344143,0.001144587,0.004957202,0.000908002,7.78E-05,,,-0.000388175,,0.003282225,,0.000618626,0.002675439,0.002020745,0.000436357,0.000315787,,0.002358345,-0.00072843,-0.004745345,0.00228556,0.002904366,0.002525411,,0.000517416,0.002302141,,0.002536122,,0.002578015,,0.000566594,,0.017819674,,-0.003142445,0.005165035,,,0.006589244,,0.000165225,0.001957388,,0.002942725,,0.011919136,0.00154626,0.006391709,0.001501275,0.008441949,,,0.002085929,,,,,0.001706905,0.002553495,0.000151915,,,0.002118374,0.000584785,0.001473154,0.004786229,,-0.003172978,0.00036647,0.002039163,,,0.003211046,0.006058223,,0.002327745
07-01-2021,-0.000785834,-0.00061157,,0.006282063,0.009776995,-0.000763867,0.005287449,0.000643834,-0.001098904,0.004378618,0.002513323,,,,0.001255261,,0.002811021,0.002731228,0.002930386,,,-0.000769173,0.004145496,,-0.001031081,3.71E-05,0.005295067,0.00221843,0.004134937,-0.00121699,0.000585498,0.00102674,-0.000535736,0.005605465,,,-0.002914859,,0.000768201,-0.003040212,0.001211447,,,0.000687826,,,,,,0.000333757,-0.005881301,0.03755963,0.003096057,,0.001313432,,0.002630505,,,0.006633676,,,-0.001249372,0.00441939,-0.007462314,-0.002051032,0.004819395,0.005200517,-1.93E-05,0.001384411,0.002782313,,0.004405821,0.004288914,0.006047793,0.00266131,,0.003395088,0.002330933,,0.000719602,,,-0.00018303,0.00211461,0.00182412,0.001479087,,0.008763899,0.007636388,,-0.003582441,-0.001501972,,0.003000706,,0.000968263,0.007676549,-0.002920081,,,0.00102674,,,,0.011009551,,0.001958833,-0.001129558,-0.000245861,-0.001801885,,0.001578855,0.000914784,,,,0.003087307,,,0.00083398,-0.003756366,0.012125209,0.004045511,,,0.001763995,0.002650167,0.001148473,-0.000659146,-0.001655506,0.00320039,0.00261199,0.00507766,0.001821531,,0.001802634,,0.000486667,0.001670666,,0.004565028,0.0154864,,0.006034583,,0.001648833,,0.0025635,,,0.002802254,,-0.002184966,0.000722322,-0.012933191,0.009309904,0.002938386,,0.001622106,,,0.00074627,0.004991816,0.001532893,0.009099008,,0.00765326,,,0.000566194,,0.00359187,0.001222421,0.000367131,0.008727892,,0.002232221,-0.000153763,,,,-0.006509139,0.004065352,0.001963245,0.001272496,-0.000354064,-0.003277618,0.0025635,0.006966164,0.003677571,,0.002471491,,0.001082479,0.00428063,,,-0.012795856,,,,0.008736079,0.001783204,0.002504371,-0.000798966,0.003052999,,0.001077883,0.003052999,0.001488361,0.00223718,0.002544279,,0.002176671,,0.00091063,,0.00421733,,,-0.000879151,0.00369934,0.000646802,,,0.003226999,0.001649498,,0.006636793,0.001523212,,-0.000150275,-0.006448869,,,0.004310323,0.003796669,,0.0019812
08-01-2021,-0.001222421,-0.000132354,,-0.000656896,,,-0.000204155,0.001316776,0.00160383,,0.002906345,,,0.001512006,0.002648831,,0.004086046,0.003479647,0.001004808,,,-0.000778407,0.001209164,0.004252444,-0.000358765,,0.005052165,0.002697382,0.002038309,0.002013057,0.000109036,0.017599066,0.00034422,0.001183354,,0.002468444,0.001887011,,0.001432263,-0.000836603,,,,-0.002562291,0.006744314,,0.001733776,,-0.000703003,-0.000295484,-0.012261268,,0.000776545,,,,0.003957505,,-0.001210263,,,0.005687709,0.000322279,0.00211601,,8.97E-05,0.003991617,0.00340381,0.013758026,0.001839329,,,0.00239091,,,0.000667457,-0.005232812,0.002134167,0.002725395,,0.007057468,,,,0.002168081,0.006219292,0.002201929,,0.001010193,0.000185071,0.004474685,0.001606217,,,0.003277893,0.000923682,0.0013653,,0.0013653,,,0.002421288,,0.007762161,,0.017158679,,0.001371081,0.000981119,0.002073817,-0.000617399,,0.001877172,0.000467737,0.005800455,,,0.001120115,,,-0.000422073,-0.008166071,,0.004876445,,,,0.002204719,0.001707235,-7.93E-05,0.009387156,0.003337971,0.003135912,0.003015395,0.003013034,,0.001852242,,,0.002356614,,-3.01E-05,0.006814593,,0.017352264,,0.0023754,,,0.008523031,,0.002342628,0.001494872,,0.000624373,0.000606695,0.008621229,0.006795656,0.002383146,0.003639039,,,0.000932954,0.003276952,0.002195451,-4.06E-05,0.000963465,0.003396171,,,0.005926153,0.000667132,0.001428298,0.0013653,0.000515512,-0.004600191,,0.001142505,0.000903296,,,0.004817661,0.014939347,0.002356372,,,,-0.003542594,0.001775044,0.004754209,0.003372967,,0.002702518,,0.001358145,0.006735432,,,-0.001385481,0.0013653,,,0.006699412,,0.002335877,0.001982874,,-0.000296147,,0.007813433,0.001040889,0.000924093,0.000558367,,,-0.004745734,-0.001838389,,0.014939347,,,-0.000253604,0.001432967,0.002337737,,,0.001739162,0.000753033,,0.001813703,,,-0.000544968,0.005773527,,,0.004995064,0.001692685,0.002690277,0.00064643
